Strain,Stress,YoungsModulus,TensileStrength
0.014334,15610000.0,129182831.76638424,36080000.0
0.015345,15529999.999999998,129182831.76638424,36080000.0
0.015459,15280000.0,129182831.76638424,36080000.0
0.015926,15780000.0,129182831.76638424,36080000.0
0.015962,16019999.999999998,129182831.76638424,36080000.0
0.016145,17020000.0,129182831.76638424,36080000.0
0.016524,15610000.0,129182831.76638424,36080000.0
0.016574,15939999.999999998,129182831.76638424,36080000.0
0.016758,17100000.0,129182831.76638424,36080000.0
0.017069,16850000.0,129182831.76638424,36080000.0
0.017186,16600000.0,129182831.76638424,36080000.0
0.017331,16520000.0,129182831.76638424,36080000.0
0.017576,17350000.0,129182831.76638424,36080000.0
0.017693,16190000.0,129182831.76638424,36080000.0
0.017853,16520000.0,129182831.76638424,36080000.0
0.018122,15780000.0,129182831.76638424,36080000.0
0.018286,16110000.0,129182831.76638424,36080000.0
0.018404,17020000.0,129182831.76638424,36080000.0
0.018404,16349999.999999998,129182831.76638424,36080000.0
0.019316,17260000.0,129182831.76638424,36080000.0
0.019351,18090000.0,129182831.76638424,36080000.0
0.019528,17590000.0,129182831.76638424,36080000.0
0.019543,16850000.0,129182831.76638424,36080000.0
0.019681,17920000.0,129182831.76638424,36080000.0
0.019765,18500000.0,129182831.76638424,36080000.0
0.019971,17680000.0,129182831.76638424,36080000.0
0.019997,18170000.0,129182831.76638424,36080000.0
0.020116,18090000.0,129182831.76638424,36080000.0
0.020116,17840000.0,129182831.76638424,36080000.0
0.0202,17350000.0,129182831.76638424,36080000.0
0.020358,17510000.0,129182831.76638424,36080000.0
0.020517,17920000.0,129182831.76638424,36080000.0
0.02076,17590000.0,129182831.76638424,36080000.0
0.021038,17350000.0,129182831.76638424,36080000.0
0.021175,18170000.0,129182831.76638424,36080000.0
0.021434,17020000.0,129182831.76638424,36080000.0
0.021699,17510000.0,129182831.76638424,36080000.0
0.021893,19740000.0,129182831.76638424,36080000.0
0.022129,17180000.0,129182831.76638424,36080000.0
0.02233,18910000.0,129182831.76638424,36080000.0
0.02259,19330000.0,129182831.76638424,36080000.0
0.022702,18830000.0,129182831.76638424,36080000.0
0.023034,19000000.0,129182831.76638424,36080000.0
0.023331,18750000.0,129182831.76638424,36080000.0
0.023464,19900000.0,129182831.76638424,36080000.0
0.023692,18910000.0,129182831.76638424,36080000.0
0.02394,18670000.0,129182831.76638424,36080000.0
0.024153,18750000.0,129182831.76638424,36080000.0
0.024334,19570000.0,129182831.76638424,36080000.0
0.024576,19000000.0,129182831.76638424,36080000.0
0.02485,18670000.0,129182831.76638424,36080000.0
0.025106,19000000.0,129182831.76638424,36080000.0
0.025305,19160000.0,129182831.76638424,36080000.0
0.025602,19740000.0,129182831.76638424,36080000.0
0.02582,18090000.0,129182831.76638424,36080000.0
0.025996,19659999.999999996,129182831.76638424,36080000.0
0.026234,20400000.0,129182831.76638424,36080000.0
0.026486,19570000.0,129182831.76638424,36080000.0
0.026722,19740000.0,129182831.76638424,36080000.0
0.026864,19000000.0,129182831.76638424,36080000.0
0.027173,19819999.999999996,129182831.76638424,36080000.0
0.027483,19490000.0,129182831.76638424,36080000.0
0.027615,20149999.999999996,129182831.76638424,36080000.0
0.027914,19570000.0,129182831.76638424,36080000.0
0.028116,19740000.0,129182831.76638424,36080000.0
0.028289,18830000.0,129182831.76638424,36080000.0
0.028551,19410000.0,129182831.76638424,36080000.0
0.028793,20730000.0,129182831.76638424,36080000.0
0.029049,19659999.999999996,129182831.76638424,36080000.0
0.029248,20149999.999999996,129182831.76638424,36080000.0
0.029549,19080000.0,129182831.76638424,36080000.0
0.029841,19990000.0,129182831.76638424,36080000.0
0.030043,19819999.999999996,129182831.76638424,36080000.0
0.030221,19330000.0,129182831.76638424,36080000.0
0.030481,20149999.999999996,129182831.76638424,36080000.0
0.030767,20890000.0,129182831.76638424,36080000.0
0.031007,19819999.999999996,129182831.76638424,36080000.0
0.031251,20480000.0,129182831.76638424,36080000.0
0.031507,21059999.999999996,129182831.76638424,36080000.0
0.031715,19490000.0,129182831.76638424,36080000.0
