Strain,Stress,YoungsModulus,TensileStrength
0.008712,4240000.0,41982287.25580784,8290000.0
0.012226,4320000.0,41982287.25580784,8290000.0
0.012304,5060000.0,41982287.25580784,8290000.0
0.012488,4900000.0,41982287.25580784,8290000.0
0.012691,4480000.0,41982287.25580784,8290000.0
0.012843,4320000.0,41982287.25580784,8290000.0
0.01313,4400000.0,41982287.25580784,8290000.0
0.013575,5150000.0,41982287.25580784,8290000.0
0.013602,4820000.0,41982287.25580784,8290000.0
0.013654,4570000.0,41982287.25580784,8290000.0
0.014055,5310000.0,41982287.25580784,8290000.0
0.01412,4400000.0,41982287.25580784,8290000.0
0.014466,4900000.0,41982287.25580784,8290000.0
0.014499,4480000.0,41982287.25580784,8290000.0
0.014906,4820000.0,41982287.25580784,8290000.0
0.014986,5640000.0,41982287.25580784,8290000.0
0.015122,4979999.999999999,41982287.25580784,8290000.0
0.015303,4240000.0,41982287.25580784,8290000.0
0.015477,4240000.0,41982287.25580784,8290000.0
0.015575,4979999.999999999,41982287.25580784,8290000.0
0.015819,4570000.0,41982287.25580784,8290000.0
0.015857,5230000.0,41982287.25580784,8290000.0
0.016038,4900000.0,41982287.25580784,8290000.0
0.016315,5640000.0,41982287.25580784,8290000.0
0.016649,4240000.0,41982287.25580784,8290000.0
0.016972,4979999.999999999,41982287.25580784,8290000.0
0.01704,5810000.0,41982287.25580784,8290000.0
0.017129,5060000.0,41982287.25580784,8290000.0
0.017311,4979999.999999999,41982287.25580784,8290000.0
0.017439,4570000.0,41982287.25580784,8290000.0
0.017507,4900000.0,41982287.25580784,8290000.0
0.01764,5060000.0,41982287.25580784,8290000.0
0.017858,4820000.0,41982287.25580784,8290000.0
0.018133,5230000.0,41982287.25580784,8290000.0
0.018206,5559999.999999999,41982287.25580784,8290000.0
0.018382,4730000.0,41982287.25580784,8290000.0
0.018426,5559999.999999999,41982287.25580784,8290000.0
0.018763,5480000.0,41982287.25580784,8290000.0
0.01879,5480000.0,41982287.25580784,8290000.0
0.018945,5390000.0,41982287.25580784,8290000.0
0.01903,6390000.0,41982287.25580784,8290000.0
0.01932,5310000.0,41982287.25580784,8290000.0
0.019486,5150000.0,41982287.25580784,8290000.0
0.019755,6060000.0,41982287.25580784,8290000.0
0.019861,6719999.999999999,41982287.25580784,8290000.0
0.01991,4900000.0,41982287.25580784,8290000.0
0.020087,5230000.0,41982287.25580784,8290000.0
0.020505,6060000.0,41982287.25580784,8290000.0
0.020569,5970000.0,41982287.25580784,8290000.0
0.02196,4900000.0,41982287.25580784,8290000.0
0.022167,6060000.0,41982287.25580784,8290000.0
0.022658,5890000.0,41982287.25580784,8290000.0
0.022901,5230000.0,41982287.25580784,8290000.0
0.023125,5640000.0,41982287.25580784,8290000.0
0.023429,5230000.0,41982287.25580784,8290000.0
0.023513,4570000.0,41982287.25580784,8290000.0
0.023813,4979999.999999999,41982287.25580784,8290000.0
0.023971,5890000.0,41982287.25580784,8290000.0
0.024463,4979999.999999999,41982287.25580784,8290000.0
0.024629,6310000.0,41982287.25580784,8290000.0
0.02481,6719999.999999999,41982287.25580784,8290000.0
0.024934,6139999.999999999,41982287.25580784,8290000.0
0.025146,5310000.0,41982287.25580784,8290000.0
0.025382,6310000.0,41982287.25580784,8290000.0
0.025576,5230000.0,41982287.25580784,8290000.0
0.025829,5890000.0,41982287.25580784,8290000.0
0.025959,6550000.0,41982287.25580784,8290000.0
0.026186,5810000.0,41982287.25580784,8290000.0
0.026488,5150000.0,41982287.25580784,8290000.0
0.026537,6310000.0,41982287.25580784,8290000.0
0.026875,5150000.0,41982287.25580784,8290000.0
0.027005,6060000.0,41982287.25580784,8290000.0
0.027015,6139999.999999999,41982287.25580784,8290000.0
0.027481,6310000.0,41982287.25580784,8290000.0
0.027799,5890000.0,41982287.25580784,8290000.0
0.028131,5810000.0,41982287.25580784,8290000.0
0.02838,5230000.0,41982287.25580784,8290000.0
0.028533,6550000.0,41982287.25580784,8290000.0
0.028894,6390000.0,41982287.25580784,8290000.0
0.029127,5890000.0,41982287.25580784,8290000.0
0.029326,6640000.0,41982287.25580784,8290000.0
0.02944,5970000.0,41982287.25580784,8290000.0
0.0298,5310000.0,41982287.25580784,8290000.0
0.030057,6139999.999999999,41982287.25580784,8290000.0
0.030156,6719999.999999999,41982287.25580784,8290000.0
0.030518,5559999.999999999,41982287.25580784,8290000.0
0.030791,6550000.0,41982287.25580784,8290000.0
0.031092,5640000.0,41982287.25580784,8290000.0
0.031439,6139999.999999999,41982287.25580784,8290000.0
0.031449,6550000.0,41982287.25580784,8290000.0
0.031878,5730000.0,41982287.25580784,8290000.0
0.032293,5640000.0,41982287.25580784,8290000.0
0.032392,6640000.0,41982287.25580784,8290000.0
0.03248,5230000.0,41982287.25580784,8290000.0
0.032582,6220000.0,41982287.25580784,8290000.0
0.032688,5559999.999999999,41982287.25580784,8290000.0
0.032717,5559999.999999999,41982287.25580784,8290000.0
0.032819,5970000.0,41982287.25580784,8290000.0
0.032926,5970000.0,41982287.25580784,8290000.0
0.033038,5640000.0,41982287.25580784,8290000.0
0.033256,6060000.0,41982287.25580784,8290000.0
0.033407,6310000.0,41982287.25580784,8290000.0
0.033641,6310000.0,41982287.25580784,8290000.0
0.034047,5480000.0,41982287.25580784,8290000.0
0.034106,6310000.0,41982287.25580784,8290000.0
0.034385,6390000.0,41982287.25580784,8290000.0
0.034782,6640000.0,41982287.25580784,8290000.0
0.035157,5970000.0,41982287.25580784,8290000.0
0.035844,5810000.0,41982287.25580784,8290000.0
0.036632,5890000.0,41982287.25580784,8290000.0
0.037324,6390000.0,41982287.25580784,8290000.0
0.037477,5150000.0,41982287.25580784,8290000.0
0.037592,6800000.0,41982287.25580784,8290000.0
0.038095,6800000.0,41982287.25580784,8290000.0
0.03828,5730000.0,41982287.25580784,8290000.0
0.038543,6310000.0,41982287.25580784,8290000.0
0.038777,4320000.0,41982287.25580784,8290000.0
0.039111,5810000.0,41982287.25580784,8290000.0
0.039178,6310000.0,41982287.25580784,8290000.0
0.03948,6640000.0,41982287.25580784,8290000.0
0.039758,6550000.0,41982287.25580784,8290000.0
0.040006,5640000.0,41982287.25580784,8290000.0
0.040284,6310000.0,41982287.25580784,8290000.0
0.040666,6550000.0,41982287.25580784,8290000.0
0.040836,6550000.0,41982287.25580784,8290000.0
0.04134,6800000.0,41982287.25580784,8290000.0
0.042534,5970000.0,41982287.25580784,8290000.0
0.042964,6719999.999999999,41982287.25580784,8290000.0
0.043179,5890000.0,41982287.25580784,8290000.0
