Strain,Stress,YoungsModulus,TensileStrength
0.011725,11650000.0,148437296.61243287,24940000.0
0.012131,11820000.0,148437296.61243287,24940000.0
0.012607,11730000.0,148437296.61243287,24940000.0
0.012765,12229999.999999998,148437296.61243287,24940000.0
0.013068,13140000.0,148437296.61243287,24940000.0
0.014162,11980000.0,148437296.61243287,24940000.0
0.014403,12560000.0,148437296.61243287,24940000.0
0.014545,13470000.0,148437296.61243287,24940000.0
0.014676,13710000.0,148437296.61243287,24940000.0
0.014816,13380000.0,148437296.61243287,24940000.0
0.014846,13470000.0,148437296.61243287,24940000.0
0.014846,14040000.0,148437296.61243287,24940000.0
0.015018,13710000.0,148437296.61243287,24940000.0
0.015197,12310000.0,148437296.61243287,24940000.0
0.015197,14620000.0,148437296.61243287,24940000.0
0.016456,13710000.0,148437296.61243287,24940000.0
0.016648,12560000.0,148437296.61243287,24940000.0
0.016855,12719999.999999998,148437296.61243287,24940000.0
0.0171,12810000.0,148437296.61243287,24940000.0
0.017323,14130000.0,148437296.61243287,24940000.0
0.017492,13470000.0,148437296.61243287,24940000.0
0.017763,14620000.0,148437296.61243287,24940000.0
0.017934,14870000.0,148437296.61243287,24940000.0
0.018118,14870000.0,148437296.61243287,24940000.0
0.01827,13470000.0,148437296.61243287,24940000.0
0.018502,14040000.0,148437296.61243287,24940000.0
0.018702,15030000.0,148437296.61243287,24940000.0
0.019011,13710000.0,148437296.61243287,24940000.0
0.019166,14040000.0,148437296.61243287,24940000.0
0.019371,13710000.0,148437296.61243287,24940000.0
0.019537,13799999.999999998,148437296.61243287,24940000.0
0.019761,13710000.0,148437296.61243287,24940000.0
0.02001,14289999.999999998,148437296.61243287,24940000.0
0.020238,14369999.999999998,148437296.61243287,24940000.0
0.020431,14289999.999999998,148437296.61243287,24940000.0
0.020604,14620000.0,148437296.61243287,24940000.0
0.02077,15690000.0,148437296.61243287,24940000.0
0.020982,14289999.999999998,148437296.61243287,24940000.0
0.021207,14369999.999999998,148437296.61243287,24940000.0
0.021499,13960000.0,148437296.61243287,24940000.0
0.02168,14040000.0,148437296.61243287,24940000.0
