Strain,Stress,YoungsModulus,TensileStrength
0.010062,9010000.0,120587123.2013912,19659999.999999996
0.011814,8930000.0,120587123.2013912,19659999.999999996
0.011861,8430000.0,120587123.2013912,19659999.999999996
0.012199,8930000.0,120587123.2013912,19659999.999999996
0.012513,9090000.0,120587123.2013912,19659999.999999996
0.012904,9260000.0,120587123.2013912,19659999.999999996
0.013093,9010000.0,120587123.2013912,19659999.999999996
0.013537,8930000.0,120587123.2013912,19659999.999999996
0.013701,8760000.0,120587123.2013912,19659999.999999996
0.013892,8930000.0,120587123.2013912,19659999.999999996
0.014141,9260000.0,120587123.2013912,19659999.999999996
0.014294,9840000.0,120587123.2013912,19659999.999999996
0.014578,9670000.0,120587123.2013912,19659999.999999996
0.014675,9010000.0,120587123.2013912,19659999.999999996
0.014902,9510000.0,120587123.2013912,19659999.999999996
0.015314,8680000.0,120587123.2013912,19659999.999999996
0.015356,9670000.0,120587123.2013912,19659999.999999996
0.015488,9090000.0,120587123.2013912,19659999.999999996
0.015568,9590000.0,120587123.2013912,19659999.999999996
0.015661,9670000.0,120587123.2013912,19659999.999999996
0.015906,9840000.0,120587123.2013912,19659999.999999996
0.016165,9590000.0,120587123.2013912,19659999.999999996
0.016301,10989999.999999998,120587123.2013912,19659999.999999996
0.016502,8930000.0,120587123.2013912,19659999.999999996
0.016637,10169999.999999998,120587123.2013912,19659999.999999996
0.016841,9510000.0,120587123.2013912,19659999.999999996
0.017106,10330000.0,120587123.2013912,19659999.999999996
0.017154,10830000.0,120587123.2013912,19659999.999999996
0.017306,10740000.0,120587123.2013912,19659999.999999996
0.017375,9750000.0,120587123.2013912,19659999.999999996
0.017549,9590000.0,120587123.2013912,19659999.999999996
0.017869,10579999.999999998,120587123.2013912,19659999.999999996
0.017962,10660000.0,120587123.2013912,19659999.999999996
0.018151,10499999.999999998,120587123.2013912,19659999.999999996
0.018437,11650000.0,120587123.2013912,19659999.999999996
0.0186,11240000.0,120587123.2013912,19659999.999999996
0.018865,9670000.0,120587123.2013912,19659999.999999996
0.018873,11069999.999999998,120587123.2013912,19659999.999999996
0.019041,10830000.0,120587123.2013912,19659999.999999996
0.019307,10579999.999999998,120587123.2013912,19659999.999999996
0.01952,10740000.0,120587123.2013912,19659999.999999996
0.019768,10830000.0,120587123.2013912,19659999.999999996
0.019856,10830000.0,120587123.2013912,19659999.999999996
0.020067,11320000.0,120587123.2013912,19659999.999999996
0.020344,10989999.999999998,120587123.2013912,19659999.999999996
0.020498,11240000.0,120587123.2013912,19659999.999999996
0.02071,12390000.0,120587123.2013912,19659999.999999996
0.020892,10250000.0,120587123.2013912,19659999.999999996
0.021079,11320000.0,120587123.2013912,19659999.999999996
0.021125,10660000.0,120587123.2013912,19659999.999999996
0.021339,11490000.0,120587123.2013912,19659999.999999996
0.021403,12310000.0,120587123.2013912,19659999.999999996
0.021527,10740000.0,120587123.2013912,19659999.999999996
0.021527,10169999.999999998,120587123.2013912,19659999.999999996
0.021527,11570000.0,120587123.2013912,19659999.999999996
0.021549,11820000.0,120587123.2013912,19659999.999999996
0.021784,12560000.0,120587123.2013912,19659999.999999996
0.022068,11650000.0,120587123.2013912,19659999.999999996
0.0221,11320000.0,120587123.2013912,19659999.999999996
0.022506,11400000.0,120587123.2013912,19659999.999999996
0.022664,12149999.999999998,120587123.2013912,19659999.999999996
0.022946,10250000.0,120587123.2013912,19659999.999999996
0.023152,10830000.0,120587123.2013912,19659999.999999996
0.023298,11980000.0,120587123.2013912,19659999.999999996
0.023584,11320000.0,120587123.2013912,19659999.999999996
0.023774,10989999.999999998,120587123.2013912,19659999.999999996
0.024005,11069999.999999998,120587123.2013912,19659999.999999996
0.024199,12060000.0,120587123.2013912,19659999.999999996
0.02441,13220000.0,120587123.2013912,19659999.999999996
0.02467,12310000.0,120587123.2013912,19659999.999999996
0.024988,12390000.0,120587123.2013912,19659999.999999996
0.025179,11570000.0,120587123.2013912,19659999.999999996
0.025374,12229999.999999998,120587123.2013912,19659999.999999996
0.025596,11240000.0,120587123.2013912,19659999.999999996
0.025871,12060000.0,120587123.2013912,19659999.999999996
0.026134,13220000.0,120587123.2013912,19659999.999999996
0.026375,12390000.0,120587123.2013912,19659999.999999996
0.026582,11650000.0,120587123.2013912,19659999.999999996
0.026741,11730000.0,120587123.2013912,19659999.999999996
0.027043,11650000.0,120587123.2013912,19659999.999999996
0.027329,10910000.0,120587123.2013912,19659999.999999996
0.027566,12310000.0,120587123.2013912,19659999.999999996
0.027805,11400000.0,120587123.2013912,19659999.999999996
0.028005,11730000.0,120587123.2013912,19659999.999999996
0.028281,12390000.0,120587123.2013912,19659999.999999996
0.028524,13879999.999999998,120587123.2013912,19659999.999999996
0.02877,13380000.0,120587123.2013912,19659999.999999996
0.028951,12229999.999999998,120587123.2013912,19659999.999999996
0.029151,12310000.0,120587123.2013912,19659999.999999996
0.029438,13140000.0,120587123.2013912,19659999.999999996
0.029762,12970000.0,120587123.2013912,19659999.999999996
0.029983,11650000.0,120587123.2013912,19659999.999999996
0.030053,13049999.999999998,120587123.2013912,19659999.999999996
