Strain,Stress,YoungsModulus,TensileStrength
0.007606,6620000.0,161948748.25258115,19570000.0
0.007929,6620000.0,161948748.25258115,19570000.0
0.008159,6449999.999999999,161948748.25258115,19570000.0
0.008516,8099999.999999999,161948748.25258115,19570000.0
0.008641,7360000.0,161948748.25258115,19570000.0
0.008644,6950000.0,161948748.25258115,19570000.0
0.008684,6950000.0,161948748.25258115,19570000.0
0.009007,7280000.0,161948748.25258115,19570000.0
0.009401,7609999.999999999,161948748.25258115,19570000.0
0.009428,7940000.0,161948748.25258115,19570000.0
0.009603,7770000.0,161948748.25258115,19570000.0
0.009746,7770000.0,161948748.25258115,19570000.0
0.010029,8180000.0,161948748.25258115,19570000.0
0.010304,7690000.0,161948748.25258115,19570000.0
0.010491,8019999.999999999,161948748.25258115,19570000.0
0.010616,7190000.0,161948748.25258115,19570000.0
0.010758,8270000.0,161948748.25258115,19570000.0
0.010971,7439999.999999999,161948748.25258115,19570000.0
0.01108,8600000.0,161948748.25258115,19570000.0
0.011185,7850000.0,161948748.25258115,19570000.0
0.011344,7850000.0,161948748.25258115,19570000.0
0.011483,6859999.999999999,161948748.25258115,19570000.0
0.011886,8930000.0,161948748.25258115,19570000.0
0.011913,8099999.999999999,161948748.25258115,19570000.0
0.01214,7609999.999999999,161948748.25258115,19570000.0
0.012303,8019999.999999999,161948748.25258115,19570000.0
0.012459,8270000.0,161948748.25258115,19570000.0
0.012609,8430000.0,161948748.25258115,19570000.0
0.012911,8600000.0,161948748.25258115,19570000.0
0.013035,7690000.0,161948748.25258115,19570000.0
0.013329,9670000.0,161948748.25258115,19570000.0
0.013422,7280000.0,161948748.25258115,19570000.0
0.013476,9420000.0,161948748.25258115,19570000.0
0.013611,8270000.0,161948748.25258115,19570000.0
0.01386,9590000.0,161948748.25258115,19570000.0
0.014052,9420000.0,161948748.25258115,19570000.0
0.014125,9920000.0,161948748.25258115,19570000.0
0.014486,9750000.0,161948748.25258115,19570000.0
0.014537,8510000.0,161948748.25258115,19570000.0
0.014661,10000000.0,161948748.25258115,19570000.0
0.01481,10169999.999999998,161948748.25258115,19570000.0
0.015064,9090000.0,161948748.25258115,19570000.0
0.015243,8430000.0,161948748.25258115,19570000.0
0.015509,9920000.0,161948748.25258115,19570000.0
0.015624,10989999.999999998,161948748.25258115,19570000.0
0.015941,10410000.0,161948748.25258115,19570000.0
0.016138,8840000.0,161948748.25258115,19570000.0
0.016352,8760000.0,161948748.25258115,19570000.0
0.01637,9750000.0,161948748.25258115,19570000.0
0.016587,8600000.0,161948748.25258115,19570000.0
0.016908,10250000.0,161948748.25258115,19570000.0
0.017066,10250000.0,161948748.25258115,19570000.0
0.017072,9590000.0,161948748.25258115,19570000.0
0.017443,10989999.999999998,161948748.25258115,19570000.0
0.017644,10740000.0,161948748.25258115,19570000.0
0.017884,10169999.999999998,161948748.25258115,19570000.0
0.018069,11730000.0,161948748.25258115,19570000.0
0.018263,10250000.0,161948748.25258115,19570000.0
0.018436,10250000.0,161948748.25258115,19570000.0
0.018757,10410000.0,161948748.25258115,19570000.0
0.018795,10499999.999999998,161948748.25258115,19570000.0
0.019047,9920000.0,161948748.25258115,19570000.0
0.019244,11820000.0,161948748.25258115,19570000.0
0.019537,11320000.0,161948748.25258115,19570000.0
0.019537,10830000.0,161948748.25258115,19570000.0
0.020218,11400000.0,161948748.25258115,19570000.0
0.020404,10410000.0,161948748.25258115,19570000.0
0.020497,11069999.999999998,161948748.25258115,19570000.0
0.020745,10499999.999999998,161948748.25258115,19570000.0
0.021124,11320000.0,161948748.25258115,19570000.0
0.021184,11980000.0,161948748.25258115,19570000.0
0.021519,11980000.0,161948748.25258115,19570000.0
0.021627,11980000.0,161948748.25258115,19570000.0
0.021897,12480000.0,161948748.25258115,19570000.0
0.022127,10989999.999999998,161948748.25258115,19570000.0
0.022239,10830000.0,161948748.25258115,19570000.0
0.022607,10169999.999999998,161948748.25258115,19570000.0
0.022807,10579999.999999998,161948748.25258115,19570000.0
0.02289,11650000.0,161948748.25258115,19570000.0
0.023185,12390000.0,161948748.25258115,19570000.0
0.023326,12229999.999999998,161948748.25258115,19570000.0
0.023501,11160000.0,161948748.25258115,19570000.0
0.023828,12149999.999999998,161948748.25258115,19570000.0
0.024127,11490000.0,161948748.25258115,19570000.0
0.024373,10579999.999999998,161948748.25258115,19570000.0
0.024524,11490000.0,161948748.25258115,19570000.0
0.024793,11980000.0,161948748.25258115,19570000.0
0.024919,11980000.0,161948748.25258115,19570000.0
0.025232,11570000.0,161948748.25258115,19570000.0
0.025499,12310000.0,161948748.25258115,19570000.0
0.02566,11160000.0,161948748.25258115,19570000.0
0.025952,11980000.0,161948748.25258115,19570000.0
0.026204,12060000.0,161948748.25258115,19570000.0
0.026273,12390000.0,161948748.25258115,19570000.0
0.026595,12480000.0,161948748.25258115,19570000.0
0.026892,11730000.0,161948748.25258115,19570000.0
0.02707,12480000.0,161948748.25258115,19570000.0
0.027269,12719999.999999998,161948748.25258115,19570000.0
0.027538,12229999.999999998,161948748.25258115,19570000.0
0.027787,12639999.999999998,161948748.25258115,19570000.0
0.028017,12639999.999999998,161948748.25258115,19570000.0
0.028314,12560000.0,161948748.25258115,19570000.0
0.028519,12229999.999999998,161948748.25258115,19570000.0
0.028818,12149999.999999998,161948748.25258115,19570000.0
0.028984,11650000.0,161948748.25258115,19570000.0
0.029067,12970000.0,161948748.25258115,19570000.0
0.02935,12970000.0,161948748.25258115,19570000.0
0.029665,12480000.0,161948748.25258115,19570000.0
0.029776,12060000.0,161948748.25258115,19570000.0
0.030099,11900000.0,161948748.25258115,19570000.0
0.030378,11069999.999999998,161948748.25258115,19570000.0
0.030533,13220000.0,161948748.25258115,19570000.0
0.030698,13630000.0,161948748.25258115,19570000.0
0.030933,13630000.0,161948748.25258115,19570000.0
0.031186,10740000.0,161948748.25258115,19570000.0
0.031568,11650000.0,161948748.25258115,19570000.0
0.031734,12229999.999999998,161948748.25258115,19570000.0
0.03201,13470000.0,161948748.25258115,19570000.0
0.032231,11980000.0,161948748.25258115,19570000.0
0.032478,12639999.999999998,161948748.25258115,19570000.0
0.032648,11900000.0,161948748.25258115,19570000.0
0.032902,12810000.0,161948748.25258115,19570000.0
0.032982,13140000.0,161948748.25258115,19570000.0
0.033478,12149999.999999998,161948748.25258115,19570000.0
0.033533,12890000.0,161948748.25258115,19570000.0
0.03384,11240000.0,161948748.25258115,19570000.0
0.033865,13470000.0,161948748.25258115,19570000.0
0.034395,12560000.0,161948748.25258115,19570000.0
0.034644,13879999.999999998,161948748.25258115,19570000.0
0.034881,12810000.0,161948748.25258115,19570000.0
0.035104,13470000.0,161948748.25258115,19570000.0
0.035127,14209999.999999998,161948748.25258115,19570000.0
0.035454,12890000.0,161948748.25258115,19570000.0
0.035674,13470000.0,161948748.25258115,19570000.0
0.036055,12229999.999999998,161948748.25258115,19570000.0
0.036338,12810000.0,161948748.25258115,19570000.0
0.036589,13049999.999999998,161948748.25258115,19570000.0
0.036779,12390000.0,161948748.25258115,19570000.0
0.03711,13710000.0,161948748.25258115,19570000.0
0.037156,12970000.0,161948748.25258115,19570000.0
0.037424,14369999.999999998,161948748.25258115,19570000.0
0.03765,12810000.0,161948748.25258115,19570000.0
0.037709,12890000.0,161948748.25258115,19570000.0
0.03779,14790000.0,161948748.25258115,19570000.0
0.037914,13300000.0,161948748.25258115,19570000.0
0.037914,14130000.0,161948748.25258115,19570000.0
0.038105,13470000.0,161948748.25258115,19570000.0
0.038105,13710000.0,161948748.25258115,19570000.0
0.039314,13630000.0,161948748.25258115,19570000.0
0.039622,12229999.999999998,161948748.25258115,19570000.0
0.039964,13220000.0,161948748.25258115,19570000.0
0.040058,12639999.999999998,161948748.25258115,19570000.0
0.040405,15120000.0,161948748.25258115,19570000.0
0.040603,11650000.0,161948748.25258115,19570000.0
0.040731,12810000.0,161948748.25258115,19570000.0
0.041061,13220000.0,161948748.25258115,19570000.0
0.041207,13049999.999999998,161948748.25258115,19570000.0
0.041585,12390000.0,161948748.25258115,19570000.0
0.041877,13140000.0,161948748.25258115,19570000.0
0.042108,13049999.999999998,161948748.25258115,19570000.0
0.042307,12810000.0,161948748.25258115,19570000.0
0.042562,15030000.0,161948748.25258115,19570000.0
0.042826,14209999.999999998,161948748.25258115,19570000.0
0.043013,14790000.0,161948748.25258115,19570000.0
0.043256,13630000.0,161948748.25258115,19570000.0
0.043522,11820000.0,161948748.25258115,19570000.0
0.043775,14130000.0,161948748.25258115,19570000.0
0.043954,14130000.0,161948748.25258115,19570000.0
0.044214,14040000.0,161948748.25258115,19570000.0
0.044467,13300000.0,161948748.25258115,19570000.0
0.044709,13799999.999999998,161948748.25258115,19570000.0
0.044967,13470000.0,161948748.25258115,19570000.0
0.045149,14040000.0,161948748.25258115,19570000.0
0.04544,12719999.999999998,161948748.25258115,19570000.0
0.045619,14289999.999999998,161948748.25258115,19570000.0
0.046029,13140000.0,161948748.25258115,19570000.0
0.046198,14289999.999999998,161948748.25258115,19570000.0
0.046361,13960000.0,161948748.25258115,19570000.0
0.046742,14620000.0,161948748.25258115,19570000.0
0.046914,13220000.0,161948748.25258115,19570000.0
0.04719,13960000.0,161948748.25258115,19570000.0
0.047502,14289999.999999998,161948748.25258115,19570000.0
0.04765,14699999.999999998,161948748.25258115,19570000.0
0.047901,14460000.0,161948748.25258115,19570000.0
0.048219,13300000.0,161948748.25258115,19570000.0
0.048373,14540000.0,161948748.25258115,19570000.0
0.048597,13630000.0,161948748.25258115,19570000.0
0.048835,14369999.999999998,161948748.25258115,19570000.0
0.049136,15120000.0,161948748.25258115,19570000.0
0.049421,13049999.999999998,161948748.25258115,19570000.0
0.049666,13220000.0,161948748.25258115,19570000.0
0.04993,14790000.0,161948748.25258115,19570000.0
0.050195,14699999.999999998,161948748.25258115,19570000.0
0.050354,12560000.0,161948748.25258115,19570000.0
0.050697,14130000.0,161948748.25258115,19570000.0
0.050708,13470000.0,161948748.25258115,19570000.0
0.05118,13550000.0,161948748.25258115,19570000.0
0.051454,14540000.0,161948748.25258115,19570000.0
0.051654,15200000.0,161948748.25258115,19570000.0
0.051933,14620000.0,161948748.25258115,19570000.0
0.052245,12890000.0,161948748.25258115,19570000.0
0.052445,12810000.0,161948748.25258115,19570000.0
0.052568,13960000.0,161948748.25258115,19570000.0
0.052888,13550000.0,161948748.25258115,19570000.0
0.053188,13630000.0,161948748.25258115,19570000.0
0.053412,13879999.999999998,161948748.25258115,19570000.0
0.05375,14950000.0,161948748.25258115,19570000.0
0.053848,13470000.0,161948748.25258115,19570000.0
0.054178,14209999.999999998,161948748.25258115,19570000.0
0.054462,14130000.0,161948748.25258115,19570000.0
0.054622,14699999.999999998,161948748.25258115,19570000.0
0.054991,13799999.999999998,161948748.25258115,19570000.0
0.055236,15120000.0,161948748.25258115,19570000.0
0.055454,13799999.999999998,161948748.25258115,19570000.0
0.055876,14790000.0,161948748.25258115,19570000.0
0.055951,12970000.0,161948748.25258115,19570000.0
0.05623,13630000.0,161948748.25258115,19570000.0
0.056445,14870000.0,161948748.25258115,19570000.0
0.056734,13960000.0,161948748.25258115,19570000.0
0.056977,13879999.999999998,161948748.25258115,19570000.0
0.057263,14699999.999999998,161948748.25258115,19570000.0
0.057584,14540000.0,161948748.25258115,19570000.0
0.057737,15030000.0,161948748.25258115,19570000.0
0.057922,13799999.999999998,161948748.25258115,19570000.0
0.05834,14790000.0,161948748.25258115,19570000.0
0.05855,14460000.0,161948748.25258115,19570000.0
0.058754,14130000.0,161948748.25258115,19570000.0
0.059157,14130000.0,161948748.25258115,19570000.0
0.059409,15529999.999999998,161948748.25258115,19570000.0
0.059537,14699999.999999998,161948748.25258115,19570000.0
0.059765,12970000.0,161948748.25258115,19570000.0
0.060107,14209999.999999998,161948748.25258115,19570000.0
0.060417,14040000.0,161948748.25258115,19570000.0
0.060616,14790000.0,161948748.25258115,19570000.0
0.060839,14209999.999999998,161948748.25258115,19570000.0
0.061152,15360000.0,161948748.25258115,19570000.0
0.061298,15610000.0,161948748.25258115,19570000.0
0.061625,14289999.999999998,161948748.25258115,19570000.0
0.06189,15280000.0,161948748.25258115,19570000.0
0.062151,15280000.0,161948748.25258115,19570000.0
0.062412,14130000.0,161948748.25258115,19570000.0
0.06267,14699999.999999998,161948748.25258115,19570000.0
0.062924,14540000.0,161948748.25258115,19570000.0
0.063126,13879999.999999998,161948748.25258115,19570000.0
0.063447,14130000.0,161948748.25258115,19570000.0
0.06376,15939999.999999998,161948748.25258115,19570000.0
0.064026,12970000.0,161948748.25258115,19570000.0
0.064312,14209999.999999998,161948748.25258115,19570000.0
0.064501,13960000.0,161948748.25258115,19570000.0
0.064827,14620000.0,161948748.25258115,19570000.0
0.065149,13049999.999999998,161948748.25258115,19570000.0
0.065273,13470000.0,161948748.25258115,19570000.0
0.065573,13960000.0,161948748.25258115,19570000.0
0.065742,13140000.0,161948748.25258115,19570000.0
0.066077,14040000.0,161948748.25258115,19570000.0
0.066418,14369999.999999998,161948748.25258115,19570000.0
0.066697,15200000.0,161948748.25258115,19570000.0
0.066926,15280000.0,161948748.25258115,19570000.0
0.067155,14540000.0,161948748.25258115,19570000.0
0.067301,15280000.0,161948748.25258115,19570000.0
0.067745,15200000.0,161948748.25258115,19570000.0
0.067965,15120000.0,161948748.25258115,19570000.0
0.068103,15200000.0,161948748.25258115,19570000.0
0.06853,15030000.0,161948748.25258115,19570000.0
0.068637,15030000.0,161948748.25258115,19570000.0
0.068912,14620000.0,161948748.25258115,19570000.0
0.069171,15200000.0,161948748.25258115,19570000.0
0.069411,16520000.0,161948748.25258115,19570000.0
