Strain,Stress,YoungsModulus,TensileStrength
0.011788,9510000.0,125123304.43805951,20230000.0
0.014605,9340000.0,125123304.43805951,20230000.0
0.01468,9670000.0,125123304.43805951,20230000.0
0.015218,9510000.0,125123304.43805951,20230000.0
0.015911,10250000.0,125123304.43805951,20230000.0
0.016039,10740000.0,125123304.43805951,20230000.0
0.016522,9920000.0,125123304.43805951,20230000.0
0.016662,10499999.999999998,125123304.43805951,20230000.0
0.016794,10660000.0,125123304.43805951,20230000.0
0.017254,10169999.999999998,125123304.43805951,20230000.0
0.017416,9510000.0,125123304.43805951,20230000.0
0.017607,9750000.0,125123304.43805951,20230000.0
0.017688,10579999.999999998,125123304.43805951,20230000.0
0.017941,10579999.999999998,125123304.43805951,20230000.0
0.017985,10410000.0,125123304.43805951,20230000.0
0.018181,9590000.0,125123304.43805951,20230000.0
0.018424,10000000.0,125123304.43805951,20230000.0
0.018636,10000000.0,125123304.43805951,20230000.0
0.018715,10989999.999999998,125123304.43805951,20230000.0
0.018993,11320000.0,125123304.43805951,20230000.0
0.019198,11160000.0,125123304.43805951,20230000.0
0.019267,11069999.999999998,125123304.43805951,20230000.0
0.019566,10330000.0,125123304.43805951,20230000.0
0.01976,11320000.0,125123304.43805951,20230000.0
0.019803,10330000.0,125123304.43805951,20230000.0
0.019803,10989999.999999998,125123304.43805951,20230000.0
0.020413,10740000.0,125123304.43805951,20230000.0
0.020719,11490000.0,125123304.43805951,20230000.0
0.020977,11069999.999999998,125123304.43805951,20230000.0
0.0212,11650000.0,125123304.43805951,20230000.0
0.021242,10830000.0,125123304.43805951,20230000.0
0.021619,10989999.999999998,125123304.43805951,20230000.0
0.021865,11820000.0,125123304.43805951,20230000.0
0.022022,11320000.0,125123304.43805951,20230000.0
0.022306,11320000.0,125123304.43805951,20230000.0
0.022631,11730000.0,125123304.43805951,20230000.0
0.022745,11320000.0,125123304.43805951,20230000.0
0.023002,10579999.999999998,125123304.43805951,20230000.0
0.023241,12560000.0,125123304.43805951,20230000.0
0.02341,10910000.0,125123304.43805951,20230000.0
0.023622,11730000.0,125123304.43805951,20230000.0
0.024059,11490000.0,125123304.43805951,20230000.0
0.024283,11570000.0,125123304.43805951,20230000.0
0.024397,11980000.0,125123304.43805951,20230000.0
0.024738,12639999.999999998,125123304.43805951,20230000.0
0.025099,11650000.0,125123304.43805951,20230000.0
0.025371,12639999.999999998,125123304.43805951,20230000.0
0.025404,12229999.999999998,125123304.43805951,20230000.0
0.025846,11320000.0,125123304.43805951,20230000.0
0.02593,11240000.0,125123304.43805951,20230000.0
0.026161,11490000.0,125123304.43805951,20230000.0
0.026504,11730000.0,125123304.43805951,20230000.0
0.026793,12480000.0,125123304.43805951,20230000.0
0.026918,10740000.0,125123304.43805951,20230000.0
0.027259,12480000.0,125123304.43805951,20230000.0
0.027467,11320000.0,125123304.43805951,20230000.0
0.027622,12970000.0,125123304.43805951,20230000.0
0.027806,12149999.999999998,125123304.43805951,20230000.0
0.028022,11320000.0,125123304.43805951,20230000.0
0.028517,12149999.999999998,125123304.43805951,20230000.0
0.028601,12229999.999999998,125123304.43805951,20230000.0
0.02905,12890000.0,125123304.43805951,20230000.0
0.02919,11730000.0,125123304.43805951,20230000.0
0.029491,12810000.0,125123304.43805951,20230000.0
0.029609,13550000.0,125123304.43805951,20230000.0
0.030089,12639999.999999998,125123304.43805951,20230000.0
0.030151,11900000.0,125123304.43805951,20230000.0
0.03059,12890000.0,125123304.43805951,20230000.0
0.030745,12060000.0,125123304.43805951,20230000.0
0.031105,12560000.0,125123304.43805951,20230000.0
0.031411,13799999.999999998,125123304.43805951,20230000.0
0.031567,12639999.999999998,125123304.43805951,20230000.0
0.031863,13550000.0,125123304.43805951,20230000.0
0.032073,12719999.999999998,125123304.43805951,20230000.0
0.032348,12149999.999999998,125123304.43805951,20230000.0
0.032442,12970000.0,125123304.43805951,20230000.0
0.032789,12970000.0,125123304.43805951,20230000.0
0.033091,14209999.999999998,125123304.43805951,20230000.0
0.033207,14209999.999999998,125123304.43805951,20230000.0
0.0336,12719999.999999998,125123304.43805951,20230000.0
0.033676,13879999.999999998,125123304.43805951,20230000.0
0.034007,14369999.999999998,125123304.43805951,20230000.0
0.034252,13140000.0,125123304.43805951,20230000.0
0.034534,14369999.999999998,125123304.43805951,20230000.0
0.034885,13300000.0,125123304.43805951,20230000.0
0.034913,12480000.0,125123304.43805951,20230000.0
0.035174,12229999.999999998,125123304.43805951,20230000.0
0.035432,13380000.0,125123304.43805951,20230000.0
0.035626,12480000.0,125123304.43805951,20230000.0
0.036066,13879999.999999998,125123304.43805951,20230000.0
0.036127,12810000.0,125123304.43805951,20230000.0
0.036505,13799999.999999998,125123304.43805951,20230000.0
0.036663,14289999.999999998,125123304.43805951,20230000.0
0.036991,13220000.0,125123304.43805951,20230000.0
0.037349,13630000.0,125123304.43805951,20230000.0
0.037432,13710000.0,125123304.43805951,20230000.0
0.037894,13470000.0,125123304.43805951,20230000.0
0.038123,13550000.0,125123304.43805951,20230000.0
0.038166,14130000.0,125123304.43805951,20230000.0
0.038253,13470000.0,125123304.43805951,20230000.0
0.038509,13140000.0,125123304.43805951,20230000.0
0.038696,14870000.0,125123304.43805951,20230000.0
0.039032,12639999.999999998,125123304.43805951,20230000.0
0.039258,12890000.0,125123304.43805951,20230000.0
0.039301,13220000.0,125123304.43805951,20230000.0
0.039589,14870000.0,125123304.43805951,20230000.0
0.039801,13380000.0,125123304.43805951,20230000.0
0.040162,13300000.0,125123304.43805951,20230000.0
0.040384,12890000.0,125123304.43805951,20230000.0
0.040783,14369999.999999998,125123304.43805951,20230000.0
0.040813,13630000.0,125123304.43805951,20230000.0
0.041108,14540000.0,125123304.43805951,20230000.0
0.041127,13470000.0,125123304.43805951,20230000.0
0.041548,14369999.999999998,125123304.43805951,20230000.0
0.041611,13049999.999999998,125123304.43805951,20230000.0
0.042071,14460000.0,125123304.43805951,20230000.0
0.042132,14209999.999999998,125123304.43805951,20230000.0
