Mass,MixRatio,YoungsMean,YoungsStd,TensileMean,TensileStd
57,1-3,134440824.66608524,19785456.085923396,20643333.333333332,1085213.7526261308
57,1-10,101466033.93245775,13173859.637433164,8900000.0,2486778.3710388565
9,1-1,59258633.29719653,13774467.214234326,9586666.666666666,932034.8109855603
57,1-1,93555132.1999584,25049629.46715804,19353333.333333332,868498.0649885688
57,5-1,144642759.14855215,11436285.293157585,36136666.666666664,2225313.960371035
115,1-3,289735200.29103893,38420207.96418471,55556666.666666664,2687208.3821112365
57,15-1,139764861.55834162,11741892.204505136,26810000.0,1365015.2624299359
115,1-1,135740572.22333577,12580076.802368753,33995000.0,1945000.0
