Strain,Stress,YoungsModulus,TensileStrength
0.009538,9750000.0,116250421.30761507,22130000.0
0.010821,9510000.0,116250421.30761507,22130000.0
0.012757,11400000.0,116250421.30761507,22130000.0
0.012799,9510000.0,116250421.30761507,22130000.0
0.013027,10080000.0,116250421.30761507,22130000.0
0.01326,9510000.0,116250421.30761507,22130000.0
0.014003,9750000.0,116250421.30761507,22130000.0
0.014212,10910000.0,116250421.30761507,22130000.0
0.014379,10499999.999999998,116250421.30761507,22130000.0
0.014665,11069999.999999998,116250421.30761507,22130000.0
0.014812,9840000.0,116250421.30761507,22130000.0
0.014962,10410000.0,116250421.30761507,22130000.0
0.015101,10660000.0,116250421.30761507,22130000.0
0.015324,9590000.0,116250421.30761507,22130000.0
0.015643,11570000.0,116250421.30761507,22130000.0
0.015848,10410000.0,116250421.30761507,22130000.0
0.016101,11570000.0,116250421.30761507,22130000.0
0.016234,10910000.0,116250421.30761507,22130000.0
0.0165,10740000.0,116250421.30761507,22130000.0
0.016745,12149999.999999998,116250421.30761507,22130000.0
0.016882,11320000.0,116250421.30761507,22130000.0
0.017193,10000000.0,116250421.30761507,22130000.0
0.017478,11160000.0,116250421.30761507,22130000.0
0.017514,12810000.0,116250421.30761507,22130000.0
0.017891,13550000.0,116250421.30761507,22130000.0
0.018092,10830000.0,116250421.30761507,22130000.0
0.018322,11730000.0,116250421.30761507,22130000.0
0.018447,11320000.0,116250421.30761507,22130000.0
0.018741,11069999.999999998,116250421.30761507,22130000.0
0.018898,10740000.0,116250421.30761507,22130000.0
0.019104,10910000.0,116250421.30761507,22130000.0
0.019586,11650000.0,116250421.30761507,22130000.0
0.019795,11820000.0,116250421.30761507,22130000.0
0.020013,10989999.999999998,116250421.30761507,22130000.0
0.020209,11570000.0,116250421.30761507,22130000.0
0.02045,13220000.0,116250421.30761507,22130000.0
0.020601,12310000.0,116250421.30761507,22130000.0
0.020878,12390000.0,116250421.30761507,22130000.0
0.021012,12229999.999999998,116250421.30761507,22130000.0
0.021235,12719999.999999998,116250421.30761507,22130000.0
0.021605,12390000.0,116250421.30761507,22130000.0
0.021862,12970000.0,116250421.30761507,22130000.0
0.022039,12639999.999999998,116250421.30761507,22130000.0
0.022266,12810000.0,116250421.30761507,22130000.0
0.022442,11820000.0,116250421.30761507,22130000.0
0.022676,10989999.999999998,116250421.30761507,22130000.0
0.02299,12639999.999999998,116250421.30761507,22130000.0
0.023227,13710000.0,116250421.30761507,22130000.0
0.023449,12890000.0,116250421.30761507,22130000.0
0.023788,12310000.0,116250421.30761507,22130000.0
0.024216,13550000.0,116250421.30761507,22130000.0
0.024338,12890000.0,116250421.30761507,22130000.0
0.024707,13300000.0,116250421.30761507,22130000.0
0.02492,12560000.0,116250421.30761507,22130000.0
0.024956,11650000.0,116250421.30761507,22130000.0
0.025377,13799999.999999998,116250421.30761507,22130000.0
0.025522,12480000.0,116250421.30761507,22130000.0
0.02579,13300000.0,116250421.30761507,22130000.0
0.026065,13049999.999999998,116250421.30761507,22130000.0
0.026617,12480000.0,116250421.30761507,22130000.0
0.026623,12970000.0,116250421.30761507,22130000.0
0.026682,12390000.0,116250421.30761507,22130000.0
0.027156,13300000.0,116250421.30761507,22130000.0
0.027356,12970000.0,116250421.30761507,22130000.0
0.02763,14040000.0,116250421.30761507,22130000.0
0.027806,13049999.999999998,116250421.30761507,22130000.0
0.028128,11900000.0,116250421.30761507,22130000.0
0.028336,12149999.999999998,116250421.30761507,22130000.0
0.028779,13710000.0,116250421.30761507,22130000.0
0.029088,13550000.0,116250421.30761507,22130000.0
0.029233,13300000.0,116250421.30761507,22130000.0
0.02969,13140000.0,116250421.30761507,22130000.0
0.030008,12719999.999999998,116250421.30761507,22130000.0
0.030089,13140000.0,116250421.30761507,22130000.0
0.030262,14289999.999999998,116250421.30761507,22130000.0
